TimeStamp,Latitude,Longitude
1691123033,29.97177,30.94329
1691123130,29.97119,30.94268
1691123140,29.97181,30.94344
1691123150,29.9722,30.94429
1691123160,29.97223,30.94465
1691123170,29.97191,30.94514
1691123179,29.97145,30.9455
1691123189,29.97088,30.94592
1691123199,29.97022,30.94653
1691123210,29.96946,30.94722
1691123216,29.96923,30.94745
1691123230,29.96866,30.94788
1691123240,29.9681,30.94829
1691123250,29.96781,30.94854
1691123259,29.96728,30.9489
1691123270,29.96642,30.94924
1691123279,29.96576,30.94968
1691123291,29.96529,30.95008
1691123300,29.96482,30.95048
1691123308,29.96444,30.95085
1691123321,29.96389,30.95107
1691123330,29.96328,30.95106
1691123340,29.96255,30.95071
1691123349,29.96212,30.95023
1691123361,29.9618,30.94974
1691123371,29.96121,30.94889
1691123380,29.96094,30.94846
1691123390,29.96055,30.94788
1691123401,29.95994,30.94681
1691123408,29.95977,30.94625
1691123421,29.95953,30.94544
1691123428,29.95924,30.94494
1691123440,29.95887,30.94433
1691123451,29.95822,30.94331
1691123461,29.95769,30.94251
1691123472,29.95741,30.94205
1691123482,29.95679,30.94111
1691123492,29.95608,30.94002
1691123501,29.95563,30.93926
1691123512,29.95529,30.93881
1691123521,29.95459,30.93826
1691123531,29.9542,30.93793
1691123542,29.95366,30.93712
1691123552,29.95302,30.93614
1691123561,29.95253,30.93535
1691123572,29.95223,30.93489
1691123582,29.95195,30.93454
1691123591,29.95167,30.93391
1691123602,29.95133,30.9327
1691123612,29.95066,30.93175
1691123621,29.95037,30.9313
1691123632,29.94995,30.93064
1691123641,29.94943,30.92985
1691123653,29.94906,30.92927
1691123663,29.94848,30.92838
1691123673,29.94784,30.9274
1691123683,29.94733,30.92655
1691123692,29.94708,30.92615
1691123703,29.94629,30.92527
1691123713,29.94523,30.92447
1691123723,29.94457,30.92349
1691123733,29.94428,30.92303
1691123743,29.9437,30.92215
1691123752,29.94344,30.92172
1691123763,29.9429,30.9209
1691123773,29.94268,30.91965
1691123783,29.94353,30.91855
1691123792,29.94417,30.918
1691123804,29.94476,30.9175
1691123814,29.94568,30.91669
1691123823,29.94644,30.91604
1691123833,29.94682,30.91572
1691123843,29.94722,30.91539
1691123854,29.94801,30.91473
1691123864,29.94901,30.91385
1691123873,29.94985,30.91316
1691123884,29.9502,30.91287
1691123893,29.95076,30.9125
1691123904,29.9512,30.91231
1691123905,29.95123,30.91231
1691123915,29.95125,30.91227
1691123934,29.95139,30.91199
1691123944,29.95088,30.91143
1691123954,29.9502,30.91043
1691123965,29.94939,30.90919
1691123975,29.94897,30.90855
1691123985,29.94844,30.90776
1691123995,29.94761,30.9065
1691124005,29.94675,30.9052
1691124014,29.9464,30.90453
1691124024,29.94613,30.90412
1691124034,29.94564,30.90335
1691124036,29.94557,30.9032
1691124046,29.94553,30.90313
1691124064,29.94541,30.90289
1691124075,29.94522,30.90222
1691124082,29.94487,30.90213
1691124087,29.94485,30.90214
1691124097,29.94485,30.90213
1691124115,29.94477,30.90219
1691124126,29.94426,30.90279
1691124136,29.94332,30.9036
1691124146,29.94211,30.90469
1691124156,29.94061,30.90599
1691124166,29.93897,30.90738
1691124176,29.93732,30.90876
1691124186,29.93566,30.9102
1691124196,29.93402,30.91169
1691124206,29.93243,30.91315
1691124216,29.93104,30.9144
1691124226,29.92983,30.91515
1691124236,29.92853,30.9158
1691124246,29.92713,30.91684
1691124256,29.92568,30.91815
1691124266,29.92413,30.91962
1691124276,29.92244,30.92106
1691124286,29.92077,30.92259
1691124297,29.91896,30.92429
1691124307,29.91749,30.92569
1691124317,29.916,30.92706
1691124327,29.91457,30.92832
1691124337,29.91314,30.92953
1691124347,29.91177,30.9307
1691124357,29.91043,30.9319
1691124367,29.90891,30.93313
1691124377,29.9075,30.93439
1691124387,29.90664,30.93602
1691124397,29.90641,30.93787
1691124407,29.90635,30.93975
1691124417,29.90628,30.94164
1691124427,29.90617,30.94361
1691124438,29.90605,30.94599
1691124448,29.9059,30.94822
1691124458,29.90581,30.95061
1691124468,29.90575,30.95313
1691124478,29.90565,30.95571
1691124488,29.90561,30.95835
1691124498,29.90551,30.96102
1691124508,29.90543,30.96373
1691124518,29.90536,30.96636
1691124528,29.90528,30.96903
1691124538,29.90522,30.9717
1691124548,29.90515,30.97441
1691124558,29.90508,30.97722
1691124568,29.90473,30.97995
1691124578,29.90371,30.98245
1691124588,29.90263,30.98477
1691124598,29.90152,30.98708
1691124609,29.90022,30.98981
1691124619,29.89906,30.99223
1691124629,29.89794,30.99462
1691124639,29.89676,30.99714
1691124649,29.89553,30.99977
1691124659,29.89429,31.00239
1691124669,29.89309,31.00492
1691124679,29.8919,31.00749
1691124689,29.89065,31.01011
1691124699,29.88939,31.01274
1691124709,29.88811,31.01541
1691124719,29.88685,31.01813
1691124729,29.88558,31.02081
1691124739,29.88429,31.02337
1691124749,29.88305,31.02598
1691124760,29.8817,31.02882
1691124770,29.88049,31.03138
1691124780,29.87929,31.03393
1691124790,29.87809,31.03646
1691124800,29.87689,31.03901
1691124810,29.87567,31.0416
1691124820,29.87456,31.04389
1691124829,29.87409,31.04485
1691124831,29.87406,31.04489
1691125035,29.87348,31.04615
1691125045,29.87294,31.0473
1691125067,29.8712,31.05098
1691125081,29.86987,31.05383
1691125091,29.86888,31.05597
1691125101,29.8683,31.05836
1691125111,29.86815,31.06098
1691125121,29.86807,31.06376
1691125131,29.86795,31.0666
1691125141,29.86739,31.06927
1691125151,29.86634,31.07167
1691125161,29.86521,31.07405
1691125171,29.86407,31.07656
1691125181,29.86304,31.07884
1691125191,29.86211,31.08085
1691125202,29.86134,31.08248
1691125210,29.86092,31.08293
1691125222,29.86064,31.08314
1691125231,29.86051,31.08335
1691125237,29.86045,31.08347
1691125243,29.86045,31.08352
1691125262,29.86033,31.0841
1691125272,29.86013,31.08505
1691125282,29.85964,31.08626
1691125292,29.85899,31.08781
1691125302,29.85823,31.08946
1691125312,29.85738,31.09131
1691125322,29.85643,31.09339
1691125332,29.85541,31.09567
1691125342,29.85434,31.09803
1691125352,29.85325,31.10049
1691125363,29.85185,31.10307
1691125373,29.85043,31.10522
1691125383,29.84888,31.1072
1691125393,29.84735,31.10915
1691125403,29.84573,31.11117
1691125413,29.84411,31.11321
1691125423,29.84247,31.11523
1691125433,29.84086,31.11724
1691125443,29.83928,31.11926
1691125453,29.83784,31.12147
1691125463,29.83684,31.12407
1691125473,29.83642,31.1269
1691125483,29.83615,31.12976
1691125493,29.83589,31.13243
1691125503,29.83564,31.1352
1691125513,29.83536,31.13804
1691125523,29.83505,31.14094
1691125533,29.83477,31.1438
1691125544,29.83453,31.14688
