TimeStamp,Latitude,Longitude,Speed,Status
1691123033,29.97177,30.94329,0,2
1691123130,29.97119,30.94268,60,1
1691123140,29.97181,30.94344,60,1
1691123150,29.9722,30.94429,60,1
1691123160,29.97223,30.94465,60,1
1691123170,29.97191,30.94514,60,1
1691123179,29.97145,30.9455,60,1
1691123189,29.97088,30.94592,60,1
1691123199,29.97022,30.94653,60,1
1691123210,29.96946,30.94722,60,1
1691123216,29.96923,30.94745,60,1
1691123230,29.96866,30.94788,60,1
1691123240,29.9681,30.94829,60,1
1691123250,29.96781,30.94854,60,1
1691123259,29.96728,30.9489,60,1
1691123270,29.96642,30.94924,60,1
1691123279,29.96576,30.94968,60,1
1691123291,29.96529,30.95008,60,1
1691123300,29.96482,30.95048,60,1
1691123308,29.96444,30.95085,60,1
1691123321,29.96389,30.95107,60,1
1691123330,29.96328,30.95106,60,1
1691123340,29.96255,30.95071,60,1
1691123349,29.96212,30.95023,60,1
1691123361,29.9618,30.94974,60,1
1691123371,29.96121,30.94889,60,1
1691123380,29.96094,30.94846,60,1
1691123390,29.96055,30.94788,60,1
1691123401,29.95994,30.94681,60,1
1691123408,29.95977,30.94625,60,1
1691123421,29.95953,30.94544,60,1
1691123428,29.95924,30.94494,60,1
1691123440,29.95887,30.94433,60,1
1691123451,29.95822,30.94331,60,1
1691123461,29.95769,30.94251,60,1
1691123472,29.95741,30.94205,60,1
1691123482,29.95679,30.94111,60,1
1691123492,29.95608,30.94002,60,1
1691123501,29.95563,30.93926,60,1
1691123512,29.95529,30.93881,60,1
1691123521,29.95459,30.93826,60,1
1691123531,29.9542,30.93793,60,1
1691123542,29.95366,30.93712,60,1
1691123552,29.95302,30.93614,60,1
1691123561,29.95253,30.93535,60,1
1691123572,29.95223,30.93489,60,1
1691123582,29.95195,30.93454,60,1
1691123591,29.95167,30.93391,60,1
1691123602,29.95133,30.9327,60,1
1691123612,29.95066,30.93175,60,1
1691123621,29.95037,30.9313,60,1
1691123632,29.94995,30.93064,60,1
1691123641,29.94943,30.92985,60,1
1691123653,29.94906,30.92927,60,1
1691123663,29.94848,30.92838,60,1
1691123673,29.94784,30.9274,60,1
1691123683,29.94733,30.92655,60,1
1691123692,29.94708,30.92615,60,1
1691123703,29.94629,30.92527,60,1
1691123713,29.94523,30.92447,60,1
1691123723,29.94457,30.92349,60,1
1691123733,29.94428,30.92303,60,1
1691123743,29.9437,30.92215,60,1
1691123752,29.94344,30.92172,60,1
1691123763,29.9429,30.9209,60,1
1691123773,29.94268,30.91965,60,1
1691123783,29.94353,30.91855,60,1
